Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2014,Final Fantasy X / X-2 HD Remaster,PS3,53,87600,313739,Japan,5919.60377358491
2015,Girls Mode 3: Kirakira Code,3DS,38,224520,224520,Japan,5908.42105263158
2015,Pro Evolution Soccer 2016,PS4,16,94422,94422,Japan,5901.375
2009,Okaeri! Chibi-Robo! Happy Richie Oosouji,DS,24,141621,141621,Japan,5900.875
2013,Resident Evil: Revelations,PS3,33,194482,194482,Japan,5893.39393939394
2016,Mario & Sonic at the Rio 2016 Olympic Games,3DS,46,271013,271013,Japan,5891.58695652174
2009,Momotarou Dentetsu 20-Shuunen,DS,55,140731,322826,Japan,5869.56363636364
2009,Pro Yakyuu Spirits 6,PS3,25,146599,146599,Japan,5863.96
2009,Dragon Ball Z: Attack of the Saiyans,DS,36,210942,210942,Japan,5859.5
2014,Oreshika: Tainted Bloodlines,PSV,24,139944,139944,Japan,5831
2010,Pro Yakyuu Spirits 2010,PSP,40,232464,232464,Japan,5811.6
2014,3rd Super Robot Wars Z Jigoku Hen,PS3,38,219322,219322,Japan,5771.63157894737
2016,Sumikko Gurashi: Mura o Tsukurundesu,3DS,24,138422,138422,Japan,5767.58333333333
2018,Arms,NS,81,145541,467012,Japan,5765.58024691358
2008,Tales of Destiny,PS2,91,155439,523889,Japan,5757.02197802198
2010,Lost Planet 2,PS3,33,189871,189871,Japan,5753.66666666667
2008,Karaoke Joysound Wii,Wii,29,166754,166754,Japan,5750.13793103448
2011,Wii Play: Motion,Wii,26,149488,149488,Japan,5749.53846153846
2012,Mario & Sonic at the London 2012 Olympic Games,3DS,44,252473,252473,Japan,5738.02272727273
2010,Tokimeki Memorial Girl's Side 3rd Story,DS,28,160080,160080,Japan,5717.14285714286
2017,Dragon Ball: Xenoverse 2,NS,17,97171,97171,Japan,5715.94117647059
2011,Atelier Meruru: Alchemist of Arland 3,PS3,28,159954,159954,Japan,5712.64285714286
2013,Kamen Rider: Battride War,PS3,33,187859,187859,Japan,5692.69696969697
2016,Uncharted (PS4),PS4,34,193394,193394,Japan,5688.05882352941
2010,Call of Duty: Modern Warfare 2,PS3,56,138129,317733,Japan,5673.80357142857
2014,Yakuza: Ishin,PS3,45,254819,254819,Japan,5662.64444444444
2013,Style Savvy: Trendsetters,3DS,67,119739,378953,Japan,5656.01492537313
2008,Dragon Ball Z: Burst Limit,PS3,31,175059,175059,Japan,5647.06451612903
2017,Fire Emblem Echoes: Shadows of Valentia,3DS,37,207541,207541,Japan,5609.21621621622
2013,Kingdom Hearts,PS3,43,240964,240964,Japan,5603.81395348837
2012,Super Dangan-Ronpa 2: Sayonara Zetsubou Gakuen,PSP,23,128878,128878,Japan,5603.39130434783
2014,Love Live! School Idol Paradise,PSV,18,100524,100524,Japan,5584.66666666667
2017,Destiny 2,PS4,17,94537,94537,Japan,5561
2010,Sengoku Basara: Samurai Heroes,Wii,23,127622,127622,Japan,5548.78260869565
2017,Mario & Luigi Superstar Saga + Bowser's Minions,3DS,13,72077,72077,Japan,5544.38461538462
2007,Nounai Aeshe: IQ Suppli DS,DS,54,214631,296988,Japan,5499.77777777778
2014,Harvest Moon: Linking The New World,3DS,44,241958,241958,Japan,5499.04545454545
2015,Yakuza 0,PS3,43,236359,236359,Japan,5496.72093023256
2018,Pro Yakyuu Famista Evolution,NS,22,120410,120410,Japan,5473.18181818182
2016,Jikkyou Powerful Pro Baseball 2016,PSV,36,196307,196307,Japan,5452.97222222222
2015,Sengoku Basara 4: Sumeragi,PS3,16,87143,87143,Japan,5446.4375
2008,Pro Yakyuu Team o Tsukurou!,DS,33,179684,179684,Japan,5444.9696969697
2016,Toukiden 2,PSV,23,125121,125121,Japan,5440.04347826087
2007,Digimon World: Dawn / Dusk,DS,34,184744,184744,Japan,5433.64705882353
2013,Professor Layton and the Legacy of Civilization A,3DS,45,244357,244357,Japan,5430.15555555556
2017,Layton's Mystery Journey: Katrielle and the Millionaire's Conspiracy,3DS,27,146546,146546,Japan,5427.62962962963
2015,Taiko no Tatsujin: V Version,PSV,18,97675,97675,Japan,5426.38888888889
2009,WarioWare D.I.Y.,DS,36,194962,194962,Japan,5415.61111111111
2017,Great Phoenix Wright: Ace Attorney 2 - Naruhodou Ryuunosuke no Kakugo,3DS,22,118665,118665,Japan,5393.86363636364
2009,7th Dragon,DS,25,134481,134481,Japan,5379.24
2014,Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,63,116300,337594,Japan,5358.63492063492
2012,Harvest Moon: The Land of Origin,3DS,45,240902,240902,Japan,5353.37777777778
2009,"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",PSP,27,144224,144224,Japan,5341.62962962963
2017,Horizon: Zero Dawn,PS4,44,235022,235022,Japan,5341.40909090909
2009,Musou Orochi Z,PS3,43,229410,229410,Japan,5335.11627906977
2014,Sengoku Basara 4,PS3,49,260787,260787,Japan,5322.18367346939
2011,Final Fantasy IV: The Complete Collection,PSP,41,217976,217976,Japan,5316.48780487805
2012,Nayuta no Kiseki,PSP,23,122263,122263,Japan,5315.78260869565
2015,Dragon Quest X: Mezameshi Itsutsu no Shuzoku Online,Wii,179,117439,949564,Japan,5304.82681564246
2009,Pro Yakyuu Spirits 6,PS2,25,132388,132388,Japan,5295.52
2007,Harvest Moon DS: Island of Happiness,DS,48,254014,254014,Japan,5291.95833333333
2015,Sword Art Online: Lost Song,PSV,41,215980,215980,Japan,5267.80487804878
2009,PES 2009: Pro Evolution Soccer,PS2,49,257722,257722,Japan,5259.63265306122
2009,Inazuma Eleven,DS,72,140048,378471,Japan,5256.54166666667
2007,Kekkaishi: Karasumori Ayakashi Kidan,DS,32,168061,168061,Japan,5251.90625
2014,Final Fantasy X / X-2 HD Remaster,PSV,53,87234,278122,Japan,5247.58490566038
2011,Battle andamp;amp; Get! Pokemon Typing DS,DS,37,193820,193820,Japan,5238.37837837838
2018,1-2-Switch,NS,96,164822,498007,Japan,5187.57291666667
2016,Overwatch,PS4,32,165326,165326,Japan,5166.4375
2016,Jikkyou Powerful Pro Baseball 2016,PS4,36,185130,185130,Japan,5142.5
2013,Sword Art Online: Infinity Moment,PSP,43,220837,220837,Japan,5135.74418604651
2015,The Witcher 3: Wild Hunt,PS4,33,169071,169071,Japan,5123.36363636364
2017,Fire Emblem Warriors,NS,14,71668,71668,Japan,5119.14285714286
2013,Warriors Orochi 3,PS3,107,148593,547240,Japan,5114.39252336449
2012,Go Vacation,Wii,63,136456,317831,Japan,5044.93650793651
2010,Xenoblade Chronicles,Wii,30,150884,150884,Japan,5029.46666666667
2011,Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,Wii,57,137933,285867,Japan,5015.21052631579
2010,Pro Yakyuu Spirits 2010,PS3,40,200577,200577,Japan,5014.425
2013,Soul Sacrifice,PSV,44,220098,220098,Japan,5002.22727272727
2009,Power Pro Kun Pocket 11,DS,55,132337,275027,Japan,5000.49090909091
2017,Tom Clancy's Ghost Recon Wildlands,PS4,43,214685,214685,Japan,4992.67441860465
2009,Sengoku Basara: Battle Heroes,PSP,39,193582,193582,Japan,4963.64102564103
2010,Atelier Totori: The Adventurer of Arland,PS3,28,138264,138264,Japan,4938
2012,Armored Core V,PS3,49,241781,241781,Japan,4934.30612244898
2008,Active Life: Outdoor Challenge,Wii,32,157539,157539,Japan,4923.09375
2015,Persona 4: Dancing All Night,PSV,28,137608,137608,Japan,4914.57142857143
2018,Dragon Ball FighterZ,NS,14,68552,68552,Japan,4896.57142857143
2010,Resonance of Fate,PS3,49,239800,239800,Japan,4893.87755102041
2015,Dragon Ball Z: Extreme Butouden,3DS,30,146246,146246,Japan,4874.86666666667
2008,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,DS,67,222333,326291,Japan,4870.01492537313
2015,Mario Party 10,WiiU,43,207676,207676,Japan,4829.67441860465
2013,Etrian Odyssey: Millennium Girl,3DS,28,135148,135148,Japan,4826.71428571429
2008,Star Ocean: Second Evolution,PSP,33,158904,158904,Japan,4815.27272727273
2010,Super Street Fighter IV,PS3,36,172985,172985,Japan,4805.13888888889
2014,3rd Super Robot Wars Z Jigoku Hen,PSV,38,182298,182298,Japan,4797.31578947368
2013,Dragon's Crown,PSV,24,115055,115055,Japan,4793.95833333333
2016,Dragon Quest Builders: Revive Alefgard,PS4,49,234063,234063,Japan,4776.79591836735
2018,Etrian Odyssey X,3DS,22,105030,105030,Japan,4774.09090909091
2011,Ace Attorney Investigations 2,DS,48,228945,228945,Japan,4769.6875
2016,The Idolmaster: Platinum Stars,PS4,23,109620,109620,Japan,4766.08695652174
2011,pro evolution soccer 2011,PSP,59,163570,280283,Japan,4750.5593220339
2009,Dynasty Warriors 6 Empires,PS3,32,151971,151971,Japan,4749.09375
2018,Pokken Tournament,NS,67,128107,316997,Japan,4731.29850746269
2008,Tottadoo! Yoiko no Mujintou Seikatsu,DS,40,189173,189173,Japan,4729.325
2017,Dark Souls III,PS4,93,90440,439130,Japan,4721.82795698925
2008,Etrian Odyssey II: Heroes of Lagaard,DS,34,160213,160213,Japan,4712.14705882353
2018,Conan Exiles,PS4,19,89471,89471,Japan,4709
2011,Pro Yakyuu Spirits 2011,PS3,38,178733,178733,Japan,4703.5
2017,Minecraft,WiiU,80,114376,375932,Japan,4699.15
2012,Kurohyou 2: Ryu ga Gotoku Ashura Hen,PSP,41,192592,192592,Japan,4697.36585365854
2014,J-Stars Victory Vs.,PS3,41,192112,192112,Japan,4685.65853658537
2007,SimCity DS,DS,45,210187,210187,Japan,4670.82222222222
2008,Pro Evolution Soccer 2008,PSP,41,191089,191089,Japan,4660.70731707317
2013,Pro Yakyuu Spirits 2013,PS3,42,195161,195161,Japan,4646.69047619048
2012,Shining Blade,PSP,42,194722,194722,Japan,4636.2380952381
2012,Pro Yakyuu Spirits 2012,PSP,40,184332,184332,Japan,4608.3
2012,Atelier Ayesha: The Alchemist of the Land of Twilight,PS3,27,124232,124232,Japan,4601.18518518519
2010,World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PSP,33,151666,151666,Japan,4595.93939393939
2018,Mario Party: The Top 100,3DS,53,193256,243379,Japan,4592.05660377359
2016,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,32,146742,146742,Japan,4585.6875
2015,Bravely Second,3DS,37,169394,169394,Japan,4578.21621621622
2012,Pro Evolution Soccer 2012,PSP,61,116432,277888,Japan,4555.54098360656
2011,Patapon 3,PSP,36,163720,163720,Japan,4547.77777777778
2016,Mario & Sonic at the Rio 2016 Olympic Games,WiiU,28,127069,127069,Japan,4538.17857142857
2014,Pokemon Art Academy,3DS,28,127023,127023,Japan,4536.53571428571
2013,Pro Yakyuu Spirits 2013,PSP,42,190194,190194,Japan,4528.42857142857
2012,Pro Yakyuu Spirits 2012,PS3,40,180971,180971,Japan,4524.275
2010,Monster Hunter Frontier Online,X360,28,126287,126287,Japan,4510.25
2010,Etrian Odyssey III: The Drowned City,DS,40,179645,179645,Japan,4491.125
2009,Shin Megami Tensei: Devil Survivor,DS,27,120442,120442,Japan,4460.81481481481
2017,Miitopia,3DS,56,124711,249778,Japan,4460.32142857143
2016,Ys VIII: Lacrimosa of Dana,PSV,24,107001,107001,Japan,4458.375
2016,Kan Colle Kai,PSV,46,205029,205029,Japan,4457.15217391304
2012,Culdcept,3DS,27,119945,119945,Japan,4442.40740740741
2009,The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,PSP,46,204275,204275,Japan,4440.76086956522
2012,Toriko: Gourmet Survival!,PSP,74,154348,328240,Japan,4435.67567567568
2014,Kaseki Horider: Mugen Gear,3DS,44,194470,194470,Japan,4419.77272727273
2015,Grand Theft Auto V,PS4,56,133123,246450,Japan,4400.89285714286
2018,Mario + Rabbids Kingdom Battle,NS,50,219162,219162,Japan,4383.24
2013,New Super Luigi U,WiiU,26,113925,113925,Japan,4381.73076923077
2008,Pro Yakyuu Spirits 5,PS2,40,175128,175128,Japan,4378.2
2016,Pokken Tournament,WiiU,42,182078,182078,Japan,4335.19047619048
2010,NieR,PS3,37,159930,159930,Japan,4322.43243243243
2009,New Play Control! Mario Power Tennis,Wii,51,220425,220425,Japan,4322.05882352941
2018,Dark Souls: Remastered,PS4,32,138232,138232,Japan,4319.75
2013,Dragon Quest X,WiiU,41,176685,176685,Japan,4309.39024390244
2015,One Piece: Kaizoku Musou 3,PS3,41,176550,176550,Japan,4306.09756097561
2015,3rd Super Robot Wars Z: Tengoku-Hen,PSV,40,172100,172100,Japan,4302.5
2017,Dragon Quest Monsters: Joker 3 - Professional,3DS,47,201799,201799,Japan,4293.59574468085
2011,Catherine,PS3,46,197110,197110,Japan,4285
2018,Earth Defense Force 5,PS4,56,67941,239913,Japan,4284.16071428571
2013,Next Hatsune Miku: Project Diva,PS3,44,187559,187559,Japan,4262.70454545455
2010,Grand Theft Auto: Episodes from Liberty City,PS3,30,127350,127350,Japan,4245
2018,Hokuto ga Gotoku,PS4,43,182371,182371,Japan,4241.18604651163
2016,Toukiden 2,PS4,23,97476,97476,Japan,4238.08695652174
2018,Xenoblade Chronicles 2,NS,57,76696,240631,Japan,4221.59649122807
2008,Valkyria Chronicles,PS3,37,155263,155263,Japan,4196.2972972973
2014,Wagamama Fashion: GirlsMode - Yokubari Sengen!,3DS,118,115096,494049,Japan,4186.85593220339
2013,Summon Night 5,PSP,34,142112,142112,Japan,4179.76470588235
2013,Super Robot Wars UX,3DS,43,179031,179031,Japan,4163.51162790698
2013,Kuma-Tomo,3DS,29,119768,119768,Japan,4129.93103448276
2010,Kenka Banchou 4: Ichinen Sensou,PSP,45,185515,185515,Japan,4122.55555555556
2016,Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,29,117768,117768,Japan,4060.96551724138
2012,Hatsune Miku and Future Stars: Project Mirai,3DS,43,174447,174447,Japan,4056.90697674419
2018,Fate/Extella Link,PS4,30,121569,121569,Japan,4052.3
2010,Gundam Assault Survive,PSP,42,169445,169445,Japan,4034.40476190476
2017,Ni-Oh,PS4,47,189561,189561,Japan,4033.21276595745
2008,SimCity Creator (JP sales),DS,42,168969,168969,Japan,4023.07142857143
2011,Samurai Warriors Chronicles,3DS,45,181000,181000,Japan,4022.22222222222
2014,J-Stars Victory Vs.,PSV,41,164576,164576,Japan,4014.0487804878
2015,Yoshi's Woolly World,WiiU,25,100169,100169,Japan,4006.76
2017,Kingdom Hearts HD 2.8 Final Chapter Prologue,PS4,51,204099,204099,Japan,4001.94117647059
2016,Star Ocean 5: Integrity and Faithlessness,PS4,40,159702,159702,Japan,3992.55
2018,FIFA 19,NS,14,55846,55846,Japan,3989
2018,Persona 5,PS4,120,52619,477921,Japan,3982.675
2016,Super Robot Wars OG: The Moon Dwellers,PS4,27,107368,107368,Japan,3976.59259259259
2010,Soccer Tsuku DS: World Challenge 2010,DS,32,126954,126954,Japan,3967.3125
2018,Nintendo Labo: Toy-Con 03 Vehicle Kit,NS,16,63313,63313,Japan,3957.0625
2008,Warriors Orochi,PSP,46,181073,181073,Japan,3936.36956521739
2011,Valkyria Chronicles III: Unrecorded Chronicles,PSP,49,192703,192703,Japan,3932.71428571429
2017,"Sumikko Gurashi: Koko, Dokonan Desu?",3DS,24,94109,94109,Japan,3921.20833333333
2013,Naruto Shippuden: Narutimate Storm 3,PS3,38,148883,148883,Japan,3917.97368421053
2014,Theatrhythm Final Fantasy: Curtain Call,3DS,36,140940,140940,Japan,3915
2014,Mario Golf: World Tour,3DS,35,135533,135533,Japan,3872.37142857143
2014,Wii Fit U,WiiU,48,115025,184877,Japan,3851.60416666667
2012,Theatrhythm: Final Fantasy,3DS,46,176383,176383,Japan,3834.41304347826
2018,Monster Hunter Double Cross,NS,71,67916,271692,Japan,3826.64788732394
2015,Dragon Ball Heroes: Ultimate Mission 2,3DS,74,98638,281949,Japan,3810.12162162162
2009,Jikkyou Powerful Pro Yakyuu 2009,PS2,40,152313,152313,Japan,3807.825
2018,Far Cry 5,PS4,40,152149,152149,Japan,3803.725
2010,Star Ocean: The Last Hope International,PS3,48,182531,182531,Japan,3802.72916666667
2014,Hatsune Miku: Project Diva F 2nd,PSV,40,152014,152014,Japan,3800.35
2009,Picross 3D,DS,43,162576,162576,Japan,3780.83720930233
2016,Grand Theft Auto V,PS4,108,159666,406116,Japan,3760.33333333333
2016,Tom Clancy's The Division,PS4,43,161630,161630,Japan,3758.83720930233
2011,Amagami,PSP,40,150086,150086,Japan,3752.15
2013,DMC,PS3,51,189299,189299,Japan,3711.74509803922
2014,The IdolM@ster: One for All,PS3,33,122052,122052,Japan,3698.54545454545
2014,Watch Dogs,PS4,27,99757,99757,Japan,3694.7037037037
2011,The Last Story,Wii,49,180972,180972,Japan,3693.30612244898
2015,Xenoblade Chronicles X,WiiU,36,131946,131946,Japan,3665.16666666667
2015,Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,3DS,26,95285,95285,Japan,3664.80769230769
2018,Dynasty Warriors 9,PS4,47,171795,171795,Japan,3655.21276595745
2014,Mobile Suit Gundam Side Story: Missing Link,PS3,31,113290,113290,Japan,3654.51612903226
2007,Fire Emblem: Radiant Dawn,Wii,45,164319,164319,Japan,3651.53333333333
2018,Detroit: Become Human,PS4,32,116687,116687,Japan,3646.46875
2015,3rd Super Robot Wars Z: Tengoku-Hen,PS3,40,144584,144584,Japan,3614.6
2016,Disney Magic World 2,3DS,61,102703,220099,Japan,3608.18032786885
2015,Batman: Arkham Knight,PS4,25,90065,90065,Japan,3602.6
2016,Jikkyou Powerful Pro Baseball 2016,PS3,36,129466,129466,Japan,3596.27777777778
2009,Shin Megami Tensei: Persona,PSP,36,129316,129316,Japan,3592.11111111111
2008,Harvest Moon: Sunshine Islands,DS,46,164488,164488,Japan,3575.82608695652
2018,New Gundam Breaker,PS4,28,100052,100052,Japan,3573.28571428571
2018,Shadow of the Tomb Raider,PS4,16,56728,56728,Japan,3545.5
2014,Metal Gear Solid V: Ground Zeroes,PS4,41,145134,145134,Japan,3539.85365853659
2013,Senran Kagura Shinovi Versus: Shoujotachi no Shoumei,PSV,45,159049,159049,Japan,3534.42222222222
2011,Way of the Samurai 4,PS3,44,155077,155077,Japan,3524.47727272727
2015,Digimon Story: Cyber Sleuth,PSV,43,151139,151139,Japan,3514.86046511628
2018,Kirby: Battle Royale,3DS,57,77847,200017,Japan,3509.0701754386
2014,Kamen Rider: Battride War 2,PS3,27,94696,94696,Japan,3507.25925925926
2010,Valkyria Chronicles II,PSP,50,175356,175356,Japan,3507.12
2011,Chikyuu Boueigun 2 Portable,PSP,39,136633,136633,Japan,3503.41025641026
2015,Yakuza 0,PS4,43,149938,149938,Japan,3486.93023255814
2018,God of War (PS4),PS4,37,127940,127940,Japan,3457.83783783784
2013,Magician's Quest: Town of Magic,3DS,55,117350,189946,Japan,3453.56363636364
2017,Grand Theft Auto V,PS4,160,145396,551512,Japan,3446.95
2009,New Play Control! Pikmin 2,Wii,43,147983,147983,Japan,3441.46511627907
2015,Resident Evil: Revelations 2,PS3,42,144152,144152,Japan,3432.19047619048
2015,Theatrhythm Dragon Quest,3DS,41,139989,139989,Japan,3414.36585365854
2017,Kingdom Hearts 1.5 + 2.5 Remix,PS4,43,145712,145712,Japan,3388.6511627907
2016,Yakuza Kiwami,PS4,50,169303,169303,Japan,3386.06
2018,Captain Toad: Treasure Tracker,3DS,25,83954,83954,Japan,3358.16
2015,Final Fantasy Type-0,PS4,42,140635,140635,Japan,3348.45238095238
2018,Jikkyou Powerful Pro Baseball 2018,PSV,36,119986,119986,Japan,3332.94444444444
2017,Pro Baseball Famista Climax,3DS,37,121950,121950,Japan,3295.94594594595
2018,Super Robot Wars X,PS4,40,131697,131697,Japan,3292.425
2015,Pro Baseball Spirits 2015,PS3,41,134974,134974,Japan,3292.0487804878
2017,Mario Sports Superstars,3DS,40,131593,131593,Japan,3289.825
2016,Shin Megami Tensei IV: Final,3DS,47,154251,154251,Japan,3281.93617021277
2017,Tekken 7,PS4,31,101607,101607,Japan,3277.64516129032
2017,The Legend of Zelda: Breath of the Wild,WiiU,44,143873,143873,Japan,3269.84090909091
2018,My Hero One's Justice,NS,19,62102,62102,Japan,3268.52631578947
2009,Demon's Souls,PS3,48,156001,156001,Japan,3250.02083333333
2013,7th Dragon 2020-II,PSP,38,123467,123467,Japan,3249.13157894737
2017,Yoshi's Woolly World,3DS,50,161412,161412,Japan,3228.24
2017,Super Robot Wars V,PS4,45,144228,144228,Japan,3205.06666666667
2010,.hack//Link,PSP,44,140836,140836,Japan,3200.81818181818
2016,Attack on Titan (KOEI),PSV,46,146589,146589,Japan,3186.71739130435
2014,Pro Yakyuu Spirits 2014,PS3,41,130649,130649,Japan,3186.56097560976
2014,Watch Dogs,PS3,27,85840,85840,Japan,3179.25925925926
2014,Yakuza: Ishin,PS4,45,142140,142140,Japan,3158.66666666667
2018,The Snack World: Trejarers Gold,NS,38,119874,119874,Japan,3154.57894736842
2018,Dissidia Final Fantasy NT,PS4,51,158839,158839,Japan,3114.49019607843
2016,Gundam Breaker 3,PSV,44,135736,135736,Japan,3084.90909090909
2015,Battlefield: Hardline,PS4,42,129056,129056,Japan,3072.7619047619
2015,Return to PopoloCrois: A Story of Seasons,3DS,29,88788,88788,Japan,3061.65517241379
2011,Kingdom Hearts: Birth by Sleep - Final Mix,PSP,50,153009,153009,Japan,3060.18
2017,Super Bomberman R,NS,44,134634,134634,Japan,3059.86363636364
2016,Mario Tennis Ultra Smash,WiiU,49,149276,149276,Japan,3046.44897959184
2009,Street Fighter IV,PS3,47,142910,142910,Japan,3040.63829787234
2013,Aikatsu! Cinderella Lesson,3DS,60,112417,181649,Japan,3027.48333333333
2011,Disgaea 4: A Promise Unforgotten,PS3,45,135782,135782,Japan,3017.37777777778
2010,Nobunaga no Yabou: Tendou,PS3,44,132609,132609,Japan,3013.84090909091
2012,New Love Plus,3DS,45,135410,135410,Japan,3009.11111111111
2011,Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,PSP,49,146241,146241,Japan,2984.51020408163
2014,World Soccer Winning Eleven 2014,3DS,59,111987,175942,Japan,2982.06779661017
